,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
0,Azuay,881394,222,0,20,-2.897414,-79.004481,01/01/2021
1,Bolívar,209933,72,1,15,-1.605556,-79.003056,01/01/2021
2,Carchi,186869,122,0,2,0.81218,-77.71633,01/01/2021
3,Cañar,281396,103,0,6,-2.733333,-78.833333,01/01/2021
4,Chimborazo,524004,345,1,124,-1.674347,-78.648294,01/01/2021
5,Cotopaxi,488716,312,1,65,-0.933333,-78.616667,01/01/2021
6,El Oro,715751,571,2,208,-3.266667,-79.966667,01/01/2021
7,Esmeraldas,591083,241,0,55,1.05,-79.2,01/01/2021
8,Galápagos,33042,5,1,2,-0.7999999999999999,-89.4,01/01/2021
9,Guayas,4387434,1859,0,1688,-2.183333,-79.883333,01/01/2021
10,Imbabura,476257,214,0,16,0.362678,-78.130667,01/01/2021
11,Loja,521154,246,0,47,-3.983333,-79.2,01/01/2021
12,Los Ríos,921763,361,0,242,-1.8,-79.533333,01/01/2021
13,Manabí,1562079,1301,4,1060,-1.056181,-80.455217,01/01/2021
14,Morona Santiago,196535,36,0,0,-2.3,-78.116667,01/01/2021
15,Napo,133705,78,0,3,-0.989,-77.8159,01/01/2021
16,Orellana,161338,53,0,18,-0.466667,-76.966667,01/01/2021
17,Pastaza,114202,63,0,17,-1.066667,-78.001111,01/01/2021
18,Pichincha,3228233,2027,2,276,-0.218611,-78.509722,01/01/2021
19,Santa Elena,401178,385,0,280,-2.2267,-80.8583,01/01/2021
20,Sto. Domingo Tsáchilas,511151,376,2,116,-0.254167,-79.171944,01/01/2021
21,Sucumbíos,230503,98,0,3,0.084722,-76.882778,01/01/2021
22,Tungurahua,590600,341,0,300,-1.241667,-78.619722,01/01/2021
23,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,01/01/2021
24,Azuay,881394,222,0,20,-2.897414,-79.004481,02/01/2021
25,Bolívar,209933,73,1,15,-1.605556,-79.003056,02/01/2021
26,Carchi,186869,123,1,2,0.81218,-77.71633,02/01/2021
27,Cañar,281396,103,0,6,-2.733333,-78.833333,02/01/2021
28,Chimborazo,524004,345,0,124,-1.674347,-78.648294,02/01/2021
29,Cotopaxi,488716,312,0,65,-0.933333,-78.616667,02/01/2021
30,El Oro,715751,572,1,208,-3.266667,-79.966667,02/01/2021
31,Esmeraldas,591083,241,0,55,1.05,-79.2,02/01/2021
32,Galápagos,33042,5,0,2,-0.7999999999999999,-89.4,02/01/2021
33,Guayas,4387434,1859,0,1688,-2.183333,-79.883333,02/01/2021
34,Imbabura,476257,215,1,16,0.362678,-78.130667,02/01/2021
35,Loja,521154,246,0,47,-3.983333,-79.2,02/01/2021
36,Los Ríos,921763,361,0,242,-1.8,-79.533333,02/01/2021
37,Manabí,1562079,1302,1,1060,-1.056181,-80.455217,02/01/2021
38,Morona Santiago,196535,36,0,0,-2.3,-78.116667,02/01/2021
39,Napo,133705,78,0,3,-0.989,-77.8159,02/01/2021
40,Orellana,161338,53,0,18,-0.466667,-76.966667,02/01/2021
41,Pastaza,114202,63,0,17,-1.066667,-78.001111,02/01/2021
42,Pichincha,3228233,2027,0,276,-0.218611,-78.509722,02/01/2021
43,Santa Elena,401178,385,0,280,-2.2267,-80.8583,02/01/2021
44,Sto. Domingo Tsáchilas,511151,379,3,116,-0.254167,-79.171944,02/01/2021
45,Sucumbíos,230503,98,0,3,0.084722,-76.882778,02/01/2021
46,Tungurahua,590600,341,0,300,-1.241667,-78.619722,02/01/2021
47,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,02/01/2021
48,Azuay,881394,222,0,20,-2.897414,-79.004481,03/01/2021
49,Bolívar,209933,72,-1,15,-1.605556,-79.003056,03/01/2021
50,Carchi,186869,122,-1,2,0.81218,-77.71633,03/01/2021
51,Cañar,281396,103,0,6,-2.733333,-78.833333,03/01/2021
52,Chimborazo,524004,345,0,124,-1.674347,-78.648294,03/01/2021
53,Cotopaxi,488716,312,0,65,-0.933333,-78.616667,03/01/2021
54,El Oro,715751,571,-1,208,-3.266667,-79.966667,03/01/2021
55,Esmeraldas,591083,241,0,55,1.05,-79.2,03/01/2021
56,Galápagos,33042,5,0,2,-0.7999999999999999,-89.4,03/01/2021
57,Guayas,4387434,1859,0,1688,-2.183333,-79.883333,03/01/2021
58,Imbabura,476257,214,-1,16,0.362678,-78.130667,03/01/2021
59,Loja,521154,246,0,47,-3.983333,-79.2,03/01/2021
60,Los Ríos,921763,361,0,242,-1.8,-79.533333,03/01/2021
61,Manabí,1562079,1301,-1,1060,-1.056181,-80.455217,03/01/2021
62,Morona Santiago,196535,36,0,0,-2.3,-78.116667,03/01/2021
63,Napo,133705,78,0,3,-0.989,-77.8159,03/01/2021
64,Orellana,161338,53,0,18,-0.466667,-76.966667,03/01/2021
65,Pastaza,114202,63,0,17,-1.066667,-78.001111,03/01/2021
66,Pichincha,3228233,2027,0,276,-0.218611,-78.509722,03/01/2021
67,Santa Elena,401178,385,0,280,-2.2267,-80.8583,03/01/2021
68,Sto. Domingo Tsáchilas,511151,376,-3,116,-0.254167,-79.171944,03/01/2021
69,Sucumbíos,230503,98,0,3,0.084722,-76.882778,03/01/2021
70,Tungurahua,590600,341,0,300,-1.241667,-78.619722,03/01/2021
71,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,03/01/2021
72,Azuay,881394,222,0,20,-2.897414,-79.004481,04/01/2021
73,Bolívar,209933,73,1,15,-1.605556,-79.003056,04/01/2021
74,Carchi,186869,124,2,2,0.81218,-77.71633,04/01/2021
75,Cañar,281396,103,0,6,-2.733333,-78.833333,04/01/2021
76,Chimborazo,524004,345,0,124,-1.674347,-78.648294,04/01/2021
77,Cotopaxi,488716,312,0,65,-0.933333,-78.616667,04/01/2021
78,El Oro,715751,573,2,208,-3.266667,-79.966667,04/01/2021
79,Esmeraldas,591083,241,0,55,1.05,-79.2,04/01/2021
80,Galápagos,33042,5,0,2,-0.7999999999999999,-89.4,04/01/2021
81,Guayas,4387434,1863,4,1688,-2.183333,-79.883333,04/01/2021
82,Imbabura,476257,215,1,16,0.362678,-78.130667,04/01/2021
83,Loja,521154,246,0,47,-3.983333,-79.2,04/01/2021
84,Los Ríos,921763,361,0,242,-1.8,-79.533333,04/01/2021
85,Manabí,1562079,1305,4,1060,-1.056181,-80.455217,04/01/2021
86,Morona Santiago,196535,36,0,0,-2.3,-78.116667,04/01/2021
87,Napo,133705,78,0,3,-0.989,-77.8159,04/01/2021
88,Orellana,161338,53,0,18,-0.466667,-76.966667,04/01/2021
89,Pastaza,114202,63,0,17,-1.066667,-78.001111,04/01/2021
90,Pichincha,3228233,2027,0,276,-0.218611,-78.509722,04/01/2021
91,Santa Elena,401178,386,1,280,-2.2267,-80.8583,04/01/2021
92,Sto. Domingo Tsáchilas,511151,379,3,116,-0.254167,-79.171944,04/01/2021
93,Sucumbíos,230503,98,0,3,0.084722,-76.882778,04/01/2021
94,Tungurahua,590600,341,0,300,-1.241667,-78.619722,04/01/2021
95,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,04/01/2021
96,Azuay,881394,225,3,20,-2.897414,-79.004481,05/01/2021
97,Bolívar,209933,73,0,15,-1.605556,-79.003056,05/01/2021
98,Carchi,186869,125,1,2,0.81218,-77.71633,05/01/2021
99,Cañar,281396,104,1,6,-2.733333,-78.833333,05/01/2021
100,Chimborazo,524004,346,1,124,-1.674347,-78.648294,05/01/2021
101,Cotopaxi,488716,315,3,65,-0.933333,-78.616667,05/01/2021
102,El Oro,715751,574,1,208,-3.266667,-79.966667,05/01/2021
103,Esmeraldas,591083,241,0,55,1.05,-79.2,05/01/2021
104,Galápagos,33042,5,0,2,-0.7999999999999999,-89.4,05/01/2021
105,Guayas,4387434,1864,1,1693,-2.183333,-79.883333,05/01/2021
