,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
106,Imbabura,476257,217,2,17,0.362678,-78.130667,05/01/2021
107,Loja,521154,246,0,47,-3.983333,-79.2,05/01/2021
108,Los Ríos,921763,362,1,242,-1.8,-79.533333,05/01/2021
109,Manabí,1562079,1307,2,1061,-1.056181,-80.455217,05/01/2021
110,Morona Santiago,196535,37,1,0,-2.3,-78.116667,05/01/2021
111,Napo,133705,78,0,3,-0.989,-77.8159,05/01/2021
112,Orellana,161338,53,0,18,-0.466667,-76.966667,05/01/2021
113,Pastaza,114202,63,0,17,-1.066667,-78.001111,05/01/2021
114,Pichincha,3228233,2029,2,277,-0.218611,-78.509722,05/01/2021
115,Santa Elena,401178,386,0,280,-2.2267,-80.8583,05/01/2021
116,Sto. Domingo Tsáchilas,511151,381,2,116,-0.254167,-79.171944,05/01/2021
117,Sucumbíos,230503,98,0,3,0.084722,-76.882778,05/01/2021
118,Tungurahua,590600,345,4,301,-1.241667,-78.619722,05/01/2021
119,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,05/01/2021
120,Azuay,881394,225,0,20,-2.897414,-79.004481,06/01/2021
121,Bolívar,209933,73,0,15,-1.605556,-79.003056,06/01/2021
122,Carchi,186869,125,0,2,0.81218,-77.71633,06/01/2021
123,Cañar,281396,104,0,6,-2.733333,-78.833333,06/01/2021
124,Chimborazo,524004,354,8,124,-1.674347,-78.648294,06/01/2021
125,Cotopaxi,488716,315,0,65,-0.933333,-78.616667,06/01/2021
126,El Oro,715751,576,2,208,-3.266667,-79.966667,06/01/2021
127,Esmeraldas,591083,241,0,55,1.05,-79.2,06/01/2021
128,Galápagos,33042,6,1,2,-0.7999999999999999,-89.4,06/01/2021
129,Guayas,4387434,1865,1,1693,-2.183333,-79.883333,06/01/2021
130,Imbabura,476257,217,0,17,0.362678,-78.130667,06/01/2021
131,Loja,521154,246,0,47,-3.983333,-79.2,06/01/2021
132,Los Ríos,921763,362,0,242,-1.8,-79.533333,06/01/2021
133,Manabí,1562079,1318,11,1061,-1.056181,-80.455217,06/01/2021
134,Morona Santiago,196535,37,0,0,-2.3,-78.116667,06/01/2021
135,Napo,133705,78,0,3,-0.989,-77.8159,06/01/2021
136,Orellana,161338,53,0,18,-0.466667,-76.966667,06/01/2021
137,Pastaza,114202,63,0,17,-1.066667,-78.001111,06/01/2021
138,Pichincha,3228233,2032,3,277,-0.218611,-78.509722,06/01/2021
139,Santa Elena,401178,386,0,280,-2.2267,-80.8583,06/01/2021
140,Sto. Domingo Tsáchilas,511151,384,3,116,-0.254167,-79.171944,06/01/2021
141,Sucumbíos,230503,99,1,3,0.084722,-76.882778,06/01/2021
142,Tungurahua,590600,350,5,309,-1.241667,-78.619722,06/01/2021
143,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,06/01/2021
144,Azuay,881394,226,1,20,-2.897414,-79.004481,07/01/2021
145,Bolívar,209933,73,0,15,-1.605556,-79.003056,07/01/2021
146,Carchi,186869,126,1,2,0.81218,-77.71633,07/01/2021
147,Cañar,281396,104,0,6,-2.733333,-78.833333,07/01/2021
148,Chimborazo,524004,356,2,124,-1.674347,-78.648294,07/01/2021
149,Cotopaxi,488716,316,1,65,-0.933333,-78.616667,07/01/2021
150,El Oro,715751,577,1,208,-3.266667,-79.966667,07/01/2021
151,Esmeraldas,591083,242,1,55,1.05,-79.2,07/01/2021
152,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,07/01/2021
153,Guayas,4387434,1865,0,1693,-2.183333,-79.883333,07/01/2021
154,Imbabura,476257,217,0,17,0.362678,-78.130667,07/01/2021
155,Loja,521154,247,1,47,-3.983333,-79.2,07/01/2021
156,Los Ríos,921763,362,0,242,-1.8,-79.533333,07/01/2021
157,Manabí,1562079,1320,2,1061,-1.056181,-80.455217,07/01/2021
158,Morona Santiago,196535,37,0,0,-2.3,-78.116667,07/01/2021
159,Napo,133705,78,0,3,-0.989,-77.8159,07/01/2021
160,Orellana,161338,53,0,18,-0.466667,-76.966667,07/01/2021
161,Pastaza,114202,64,1,17,-1.066667,-78.001111,07/01/2021
162,Pichincha,3228233,2032,0,277,-0.218611,-78.509722,07/01/2021
163,Santa Elena,401178,386,0,280,-2.2267,-80.8583,07/01/2021
164,Sto. Domingo Tsáchilas,511151,384,0,116,-0.254167,-79.171944,07/01/2021
165,Sucumbíos,230503,100,1,3,0.084722,-76.882778,07/01/2021
166,Tungurahua,590600,350,0,309,-1.241667,-78.619722,07/01/2021
167,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,07/01/2021
168,Azuay,881394,226,0,20,-2.897414,-79.004481,08/01/2021
169,Bolívar,209933,73,0,15,-1.605556,-79.003056,08/01/2021
170,Carchi,186869,126,0,2,0.81218,-77.71633,08/01/2021
171,Cañar,281396,104,0,6,-2.733333,-78.833333,08/01/2021
172,Chimborazo,524004,357,1,124,-1.674347,-78.648294,08/01/2021
173,Cotopaxi,488716,316,0,65,-0.933333,-78.616667,08/01/2021
174,El Oro,715751,577,0,209,-3.266667,-79.966667,08/01/2021
175,Esmeraldas,591083,242,0,55,1.05,-79.2,08/01/2021
176,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,08/01/2021
177,Guayas,4387434,1865,0,1693,-2.183333,-79.883333,08/01/2021
178,Imbabura,476257,217,0,17,0.362678,-78.130667,08/01/2021
179,Loja,521154,247,0,47,-3.983333,-79.2,08/01/2021
180,Los Ríos,921763,362,0,242,-1.8,-79.533333,08/01/2021
181,Manabí,1562079,1322,2,1061,-1.056181,-80.455217,08/01/2021
182,Morona Santiago,196535,37,0,0,-2.3,-78.116667,08/01/2021
183,Napo,133705,78,0,3,-0.989,-77.8159,08/01/2021
184,Orellana,161338,53,0,18,-0.466667,-76.966667,08/01/2021
185,Pastaza,114202,64,0,17,-1.066667,-78.001111,08/01/2021
186,Pichincha,3228233,2033,1,277,-0.218611,-78.509722,08/01/2021
187,Santa Elena,401178,388,2,280,-2.2267,-80.8583,08/01/2021
188,Sto. Domingo Tsáchilas,511151,384,0,116,-0.254167,-79.171944,08/01/2021
189,Sucumbíos,230503,100,0,3,0.084722,-76.882778,08/01/2021
190,Tungurahua,590600,350,0,309,-1.241667,-78.619722,08/01/2021
191,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,08/01/2021
192,Azuay,881394,226,0,20,-2.897414,-79.004481,09/01/2021
193,Bolívar,209933,73,0,15,-1.605556,-79.003056,09/01/2021
194,Carchi,186869,130,4,2,0.81218,-77.71633,09/01/2021
195,Cañar,281396,104,0,6,-2.733333,-78.833333,09/01/2021
196,Chimborazo,524004,357,0,124,-1.674347,-78.648294,09/01/2021
197,Cotopaxi,488716,316,0,65,-0.933333,-78.616667,09/01/2021
198,El Oro,715751,577,0,209,-3.266667,-79.966667,09/01/2021
199,Esmeraldas,591083,242,0,55,1.05,-79.2,09/01/2021
200,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,09/01/2021
201,Guayas,4387434,1866,1,1694,-2.183333,-79.883333,09/01/2021
202,Imbabura,476257,217,0,17,0.362678,-78.130667,09/01/2021
203,Loja,521154,247,0,47,-3.983333,-79.2,09/01/2021
204,Los Ríos,921763,362,0,242,-1.8,-79.533333,09/01/2021
205,Manabí,1562079,1325,3,1061,-1.056181,-80.455217,09/01/2021
206,Morona Santiago,196535,37,0,0,-2.3,-78.116667,09/01/2021
207,Napo,133705,78,0,3,-0.989,-77.8159,09/01/2021
208,Orellana,161338,53,0,18,-0.466667,-76.966667,09/01/2021
209,Pastaza,114202,64,0,17,-1.066667,-78.001111,09/01/2021
210,Pichincha,3228233,2033,0,277,-0.218611,-78.509722,09/01/2021
211,Santa Elena,401178,389,1,280,-2.2267,-80.8583,09/01/2021
212,Sto. Domingo Tsáchilas,511151,385,1,116,-0.254167,-79.171944,09/01/2021
213,Sucumbíos,230503,100,0,3,0.084722,-76.882778,09/01/2021
214,Tungurahua,590600,350,0,310,-1.241667,-78.619722,09/01/2021
215,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,09/01/2021
216,Azuay,881394,226,0,20,-2.897414,-79.004481,10/01/2021
217,Bolívar,209933,73,0,15,-1.605556,-79.003056,10/01/2021
218,Carchi,186869,130,0,2,0.81218,-77.71633,10/01/2021
219,Cañar,281396,104,0,6,-2.733333,-78.833333,10/01/2021
220,Chimborazo,524004,357,0,124,-1.674347,-78.648294,10/01/2021
221,Cotopaxi,488716,316,0,65,-0.933333,-78.616667,10/01/2021
222,El Oro,715751,577,0,209,-3.266667,-79.966667,10/01/2021
223,Esmeraldas,591083,242,0,55,1.05,-79.2,10/01/2021
224,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,10/01/2021
225,Guayas,4387434,1866,0,1694,-2.183333,-79.883333,10/01/2021
226,Imbabura,476257,217,0,17,0.362678,-78.130667,10/01/2021
227,Loja,521154,247,0,47,-3.983333,-79.2,10/01/2021
228,Los Ríos,921763,362,0,242,-1.8,-79.533333,10/01/2021
229,Manabí,1562079,1325,0,1061,-1.056181,-80.455217,10/01/2021
230,Morona Santiago,196535,37,0,0,-2.3,-78.116667,10/01/2021
231,Napo,133705,78,0,3,-0.989,-77.8159,10/01/2021
232,Orellana,161338,53,0,18,-0.466667,-76.966667,10/01/2021
233,Pastaza,114202,64,0,17,-1.066667,-78.001111,10/01/2021
234,Pichincha,3228233,2033,0,277,-0.218611,-78.509722,10/01/2021
235,Santa Elena,401178,389,0,280,-2.2267,-80.8583,10/01/2021
236,Sto. Domingo Tsáchilas,511151,385,0,116,-0.254167,-79.171944,10/01/2021
237,Sucumbíos,230503,100,0,3,0.084722,-76.882778,10/01/2021
238,Tungurahua,590600,350,0,310,-1.241667,-78.619722,10/01/2021
239,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,10/01/2021
240,Azuay,881394,226,0,20,-2.897414,-79.004481,11/01/2021
241,Bolívar,209933,73,0,15,-1.605556,-79.003056,11/01/2021
242,Carchi,186869,133,3,2,0.81218,-77.71633,11/01/2021
243,Cañar,281396,104,0,6,-2.733333,-78.833333,11/01/2021
244,Chimborazo,524004,357,0,124,-1.674347,-78.648294,11/01/2021
245,Cotopaxi,488716,316,0,65,-0.933333,-78.616667,11/01/2021
246,El Oro,715751,577,0,209,-3.266667,-79.966667,11/01/2021
247,Esmeraldas,591083,242,0,55,1.05,-79.2,11/01/2021
248,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,11/01/2021
249,Guayas,4387434,1866,0,1694,-2.183333,-79.883333,11/01/2021
250,Imbabura,476257,217,0,17,0.362678,-78.130667,11/01/2021
251,Loja,521154,247,0,47,-3.983333,-79.2,11/01/2021
252,Los Ríos,921763,363,1,242,-1.8,-79.533333,11/01/2021
253,Manabí,1562079,1328,3,1061,-1.056181,-80.455217,11/01/2021
254,Morona Santiago,196535,37,0,0,-2.3,-78.116667,11/01/2021
255,Napo,133705,78,0,3,-0.989,-77.8159,11/01/2021
256,Orellana,161338,53,0,18,-0.466667,-76.966667,11/01/2021
257,Pastaza,114202,64,0,17,-1.066667,-78.001111,11/01/2021
258,Pichincha,3228233,2033,0,277,-0.218611,-78.509722,11/01/2021
259,Santa Elena,401178,389,0,280,-2.2267,-80.8583,11/01/2021
260,Sto. Domingo Tsáchilas,511151,385,0,116,-0.254167,-79.171944,11/01/2021
261,Sucumbíos,230503,100,0,3,0.084722,-76.882778,11/01/2021
262,Tungurahua,590600,350,0,310,-1.241667,-78.619722,11/01/2021
263,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,11/01/2021
264,Azuay,881394,226,0,20,-2.897414,-79.004481,12/01/2021
265,Bolívar,209933,73,0,15,-1.605556,-79.003056,12/01/2021
266,Carchi,186869,134,1,2,0.81218,-77.71633,12/01/2021
267,Cañar,281396,104,0,6,-2.733333,-78.833333,12/01/2021
268,Chimborazo,524004,358,1,124,-1.674347,-78.648294,12/01/2021
269,Cotopaxi,488716,316,0,65,-0.933333,-78.616667,12/01/2021
270,El Oro,715751,582,5,211,-3.266667,-79.966667,12/01/2021
271,Esmeraldas,591083,242,0,55,1.05,-79.2,12/01/2021
272,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,12/01/2021
273,Guayas,4387434,1866,0,1694,-2.183333,-79.883333,12/01/2021
274,Imbabura,476257,217,0,17,0.362678,-78.130667,12/01/2021
275,Loja,521154,247,0,47,-3.983333,-79.2,12/01/2021
276,Los Ríos,921763,363,0,242,-1.8,-79.533333,12/01/2021
277,Manabí,1562079,1328,0,1061,-1.056181,-80.455217,12/01/2021
278,Morona Santiago,196535,37,0,0,-2.3,-78.116667,12/01/2021
279,Napo,133705,79,1,3,-0.989,-77.8159,12/01/2021
280,Orellana,161338,53,0,18,-0.466667,-76.966667,12/01/2021
281,Pastaza,114202,65,1,17,-1.066667,-78.001111,12/01/2021
282,Pichincha,3228233,2033,0,277,-0.218611,-78.509722,12/01/2021
283,Santa Elena,401178,389,0,280,-2.2267,-80.8583,12/01/2021
284,Sto. Domingo Tsáchilas,511151,385,0,116,-0.254167,-79.171944,12/01/2021
285,Sucumbíos,230503,101,1,3,0.084722,-76.882778,12/01/2021
286,Tungurahua,590600,350,0,310,-1.241667,-78.619722,12/01/2021
287,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,12/01/2021
288,Azuay,881394,226,0,20,-2.897414,-79.004481,13/01/2021
289,Bolívar,209933,73,0,15,-1.605556,-79.003056,13/01/2021
290,Carchi,186869,135,1,2,0.81218,-77.71633,13/01/2021
291,Cañar,281396,104,0,6,-2.733333,-78.833333,13/01/2021
292,Chimborazo,524004,360,2,124,-1.674347,-78.648294,13/01/2021
293,Cotopaxi,488716,322,6,65,-0.933333,-78.616667,13/01/2021
294,El Oro,715751,583,1,211,-3.266667,-79.966667,13/01/2021
295,Esmeraldas,591083,242,0,55,1.05,-79.2,13/01/2021
296,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,13/01/2021
297,Guayas,4387434,1866,0,1694,-2.183333,-79.883333,13/01/2021
298,Imbabura,476257,220,3,17,0.362678,-78.130667,13/01/2021
299,Loja,521154,247,0,47,-3.983333,-79.2,13/01/2021
300,Los Ríos,921763,363,0,242,-1.8,-79.533333,13/01/2021
301,Manabí,1562079,1339,11,1061,-1.056181,-80.455217,13/01/2021
302,Morona Santiago,196535,37,0,0,-2.3,-78.116667,13/01/2021
303,Napo,133705,79,0,3,-0.989,-77.8159,13/01/2021
304,Orellana,161338,53,0,18,-0.466667,-76.966667,13/01/2021
305,Pastaza,114202,65,0,17,-1.066667,-78.001111,13/01/2021
306,Pichincha,3228233,2034,1,282,-0.218611,-78.509722,13/01/2021
307,Santa Elena,401178,389,0,280,-2.2267,-80.8583,13/01/2021
308,Sto. Domingo Tsáchilas,511151,385,0,117,-0.254167,-79.171944,13/01/2021
309,Sucumbíos,230503,101,0,3,0.084722,-76.882778,13/01/2021
310,Tungurahua,590600,351,1,311,-1.241667,-78.619722,13/01/2021
311,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,13/01/2021
312,Azuay,881394,226,0,20,-2.897414,-79.004481,14/01/2021
313,Bolívar,209933,73,0,15,-1.605556,-79.003056,14/01/2021
314,Carchi,186869,138,3,2,0.81218,-77.71633,14/01/2021
315,Cañar,281396,104,0,6,-2.733333,-78.833333,14/01/2021
316,Chimborazo,524004,360,0,124,-1.674347,-78.648294,14/01/2021
317,Cotopaxi,488716,325,3,65,-0.933333,-78.616667,14/01/2021
318,El Oro,715751,583,0,211,-3.266667,-79.966667,14/01/2021
319,Esmeraldas,591083,242,0,55,1.05,-79.2,14/01/2021
320,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,14/01/2021
321,Guayas,4387434,1866,0,1694,-2.183333,-79.883333,14/01/2021
322,Imbabura,476257,221,1,17,0.362678,-78.130667,14/01/2021
323,Loja,521154,247,0,47,-3.983333,-79.2,14/01/2021
324,Los Ríos,921763,363,0,242,-1.8,-79.533333,14/01/2021
325,Manabí,1562079,1341,2,1062,-1.056181,-80.455217,14/01/2021
326,Morona Santiago,196535,37,0,0,-2.3,-78.116667,14/01/2021
327,Napo,133705,79,0,3,-0.989,-77.8159,14/01/2021
328,Orellana,161338,53,0,18,-0.466667,-76.966667,14/01/2021
329,Pastaza,114202,65,0,17,-1.066667,-78.001111,14/01/2021
330,Pichincha,3228233,2036,2,285,-0.218611,-78.509722,14/01/2021
331,Santa Elena,401178,389,0,280,-2.2267,-80.8583,14/01/2021
332,Sto. Domingo Tsáchilas,511151,386,1,118,-0.254167,-79.171944,14/01/2021
333,Sucumbíos,230503,101,0,3,0.084722,-76.882778,14/01/2021
334,Tungurahua,590600,351,0,311,-1.241667,-78.619722,14/01/2021
335,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,14/01/2021
336,Azuay,881394,227,1,20,-2.897414,-79.004481,15/01/2021
337,Bolívar,209933,73,0,15,-1.605556,-79.003056,15/01/2021
338,Carchi,186869,140,2,2,0.81218,-77.71633,15/01/2021
339,Cañar,281396,104,0,6,-2.733333,-78.833333,15/01/2021
340,Chimborazo,524004,360,0,124,-1.674347,-78.648294,15/01/2021
341,Cotopaxi,488716,325,0,65,-0.933333,-78.616667,15/01/2021
342,El Oro,715751,584,1,211,-3.266667,-79.966667,15/01/2021
343,Esmeraldas,591083,242,0,55,1.05,-79.2,15/01/2021
344,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,15/01/2021
345,Guayas,4387434,1867,1,1694,-2.183333,-79.883333,15/01/2021
346,Imbabura,476257,221,0,17,0.362678,-78.130667,15/01/2021
347,Loja,521154,247,0,47,-3.983333,-79.2,15/01/2021
348,Los Ríos,921763,363,0,242,-1.8,-79.533333,15/01/2021
349,Manabí,1562079,1348,7,1063,-1.056181,-80.455217,15/01/2021
350,Morona Santiago,196535,37,0,0,-2.3,-78.116667,15/01/2021
351,Napo,133705,79,0,3,-0.989,-77.8159,15/01/2021
352,Orellana,161338,53,0,18,-0.466667,-76.966667,15/01/2021
353,Pastaza,114202,65,0,17,-1.066667,-78.001111,15/01/2021
354,Pichincha,3228233,2044,8,289,-0.218611,-78.509722,15/01/2021
355,Santa Elena,401178,389,0,280,-2.2267,-80.8583,15/01/2021
356,Sto. Domingo Tsáchilas,511151,387,1,118,-0.254167,-79.171944,15/01/2021
357,Sucumbíos,230503,101,0,3,0.084722,-76.882778,15/01/2021
358,Tungurahua,590600,351,0,312,-1.241667,-78.619722,15/01/2021
359,Zamora Chinchipe,120416,56,0,1,-4.12,-78.8,15/01/2021
360,Azuay,881394,228,1,20,-2.897414,-79.004481,16/01/2021
361,Bolívar,209933,73,0,15,-1.605556,-79.003056,16/01/2021
362,Carchi,186869,141,1,2,0.81218,-77.71633,16/01/2021
363,Cañar,281396,105,1,6,-2.733333,-78.833333,16/01/2021
364,Chimborazo,524004,361,1,124,-1.674347,-78.648294,16/01/2021
365,Cotopaxi,488716,326,1,65,-0.933333,-78.616667,16/01/2021
366,El Oro,715751,585,1,211,-3.266667,-79.966667,16/01/2021
367,Esmeraldas,591083,242,0,55,1.05,-79.2,16/01/2021
368,Galápagos,33042,6,0,2,-0.7999999999999999,-89.4,16/01/2021
369,Guayas,4387434,1868,1,1694,-2.183333,-79.883333,16/01/2021
370,Imbabura,476257,222,1,17,0.362678,-78.130667,16/01/2021
371,Loja,521154,247,0,47,-3.983333,-79.2,16/01/2021
372,Los Ríos,921763,363,0,242,-1.8,-79.533333,16/01/2021
373,Manabí,1562079,1354,6,1064,-1.056181,-80.455217,16/01/2021
374,Morona Santiago,196535,37,0,0,-2.3,-78.116667,16/01/2021
375,Napo,133705,79,0,3,-0.989,-77.8159,16/01/2021
376,Orellana,161338,53,0,18,-0.466667,-76.966667,16/01/2021
377,Pastaza,114202,65,0,17,-1.066667,-78.001111,16/01/2021
378,Pichincha,3228233,2061,17,289,-0.218611,-78.509722,16/01/2021
379,Santa Elena,401178,392,3,280,-2.2267,-80.8583,16/01/2021
