,provincia,poblacion,total,nuevas,lat,lng,created_at
41,Pastaza,114202,2415,1,-1.066667,-78.001111,02/01/2021
42,Pichincha,3228233,75852,166,-0.218611,-78.509722,02/01/2021
43,Santa Elena,401178,2671,18,-2.2267,-80.8583,02/01/2021
44,Sto. Domingo Tsáchilas,511151,5929,14,-0.254167,-79.171944,02/01/2021
45,Sucumbíos,230503,3030,19,0.084722,-76.882778,02/01/2021
46,Tungurahua,590600,7576,58,-1.241667,-78.619722,02/01/2021
47,Zamora Chinchipe,120416,1672,1,-4.12,-78.8,02/01/2021
48,Azuay,881394,13769,28,-2.897414,-79.004481,03/01/2021
49,Bolívar,209933,2547,0,-1.605556,-79.003056,03/01/2021
50,Carchi,186869,3713,1,0.81218,-77.71633,03/01/2021
51,Cañar,281396,2891,5,-2.733333,-78.833333,03/01/2021
52,Chimborazo,524004,3287,3,-1.674347,-78.648294,03/01/2021
53,Cotopaxi,488716,5760,0,-0.933333,-78.616667,03/01/2021
54,El Oro,715751,8438,3,-3.266667,-79.966667,03/01/2021
55,Esmeraldas,591083,5060,0,1.05,-79.2,03/01/2021
56,Galápagos,33042,922,0,-0.7999999999999999,-89.4,03/01/2021
57,Guayas,4387434,27630,0,-2.183333,-79.883333,03/01/2021
58,Imbabura,476257,6134,6,0.362678,-78.130667,03/01/2021
59,Loja,521154,7669,15,-3.983333,-79.2,03/01/2021
60,Los Ríos,921763,4953,0,-1.8,-79.533333,03/01/2021
61,Manabí,1562079,15132,8,-1.056181,-80.455217,03/01/2021
62,Morona Santiago,196535,3721,0,-2.3,-78.116667,03/01/2021
63,Napo,133705,1694,1,-0.989,-77.8159,03/01/2021
64,Orellana,161338,2118,0,-0.466667,-76.966667,03/01/2021
65,Pastaza,114202,2415,0,-1.066667,-78.001111,03/01/2021
66,Pichincha,3228233,75878,26,-0.218611,-78.509722,03/01/2021
67,Santa Elena,401178,2671,0,-2.2267,-80.8583,03/01/2021
68,Sto. Domingo Tsáchilas,511151,5929,0,-0.254167,-79.171944,03/01/2021
69,Sucumbíos,230503,3032,2,0.084722,-76.882778,03/01/2021
70,Tungurahua,590600,7578,2,-1.241667,-78.619722,03/01/2021
71,Zamora Chinchipe,120416,1673,1,-4.12,-78.8,03/01/2021
72,Azuay,881394,13802,33,-2.897414,-79.004481,04/01/2021
73,Bolívar,209933,2547,0,-1.605556,-79.003056,04/01/2021
74,Carchi,186869,3716,3,0.81218,-77.71633,04/01/2021
75,Cañar,281396,2891,0,-2.733333,-78.833333,04/01/2021
76,Chimborazo,524004,3314,27,-1.674347,-78.648294,04/01/2021
77,Cotopaxi,488716,5768,8,-0.933333,-78.616667,04/01/2021
78,El Oro,715751,8452,14,-3.266667,-79.966667,04/01/2021
79,Esmeraldas,591083,5060,0,1.05,-79.2,04/01/2021
80,Galápagos,33042,922,0,-0.7999999999999999,-89.4,04/01/2021
81,Guayas,4387434,27692,62,-2.183333,-79.883333,04/01/2021
82,Imbabura,476257,6146,12,0.362678,-78.130667,04/01/2021
83,Loja,521154,7714,45,-3.983333,-79.2,04/01/2021
84,Los Ríos,921763,4963,10,-1.8,-79.533333,04/01/2021
85,Manabí,1562079,15143,11,-1.056181,-80.455217,04/01/2021
86,Morona Santiago,196535,3722,1,-2.3,-78.116667,04/01/2021
87,Napo,133705,1698,4,-0.989,-77.8159,04/01/2021
88,Orellana,161338,2118,0,-0.466667,-76.966667,04/01/2021
89,Pastaza,114202,2416,1,-1.066667,-78.001111,04/01/2021
90,Pichincha,3228233,76093,215,-0.218611,-78.509722,04/01/2021
91,Santa Elena,401178,2671,0,-2.2267,-80.8583,04/01/2021
92,Sto. Domingo Tsáchilas,511151,5931,2,-0.254167,-79.171944,04/01/2021
93,Sucumbíos,230503,3033,1,0.084722,-76.882778,04/01/2021
94,Tungurahua,590600,7590,12,-1.241667,-78.619722,04/01/2021
95,Zamora Chinchipe,120416,1678,5,-4.12,-78.8,04/01/2021
96,Azuay,881394,13855,53,-2.897414,-79.004481,05/01/2021
97,Bolívar,209933,2556,9,-1.605556,-79.003056,05/01/2021
98,Carchi,186869,3751,35,0.81218,-77.71633,05/01/2021
99,Cañar,281396,2897,6,-2.733333,-78.833333,05/01/2021
100,Chimborazo,524004,3358,44,-1.674347,-78.648294,05/01/2021
101,Cotopaxi,488716,5814,46,-0.933333,-78.616667,05/01/2021
102,El Oro,715751,8500,48,-3.266667,-79.966667,05/01/2021
103,Esmeraldas,591083,5076,16,1.05,-79.2,05/01/2021
104,Galápagos,33042,928,6,-0.7999999999999999,-89.4,05/01/2021
105,Guayas,4387434,27805,113,-2.183333,-79.883333,05/01/2021
106,Imbabura,476257,6181,35,0.362678,-78.130667,05/01/2021
107,Loja,521154,7719,5,-3.983333,-79.2,05/01/2021
108,Los Ríos,921763,4975,12,-1.8,-79.533333,05/01/2021
109,Manabí,1562079,15206,63,-1.056181,-80.455217,05/01/2021
110,Morona Santiago,196535,3723,1,-2.3,-78.116667,05/01/2021
111,Napo,133705,1702,4,-0.989,-77.8159,05/01/2021
112,Orellana,161338,2118,0,-0.466667,-76.966667,05/01/2021
113,Pastaza,114202,2417,1,-1.066667,-78.001111,05/01/2021
114,Pichincha,3228233,76518,425,-0.218611,-78.509722,05/01/2021
115,Santa Elena,401178,2677,6,-2.2267,-80.8583,05/01/2021
116,Sto. Domingo Tsáchilas,511151,5968,37,-0.254167,-79.171944,05/01/2021
117,Sucumbíos,230503,3034,1,0.084722,-76.882778,05/01/2021
118,Tungurahua,590600,7627,37,-1.241667,-78.619722,05/01/2021
119,Zamora Chinchipe,120416,1678,0,-4.12,-78.8,05/01/2021
120,Azuay,881394,13943,88,-2.897414,-79.004481,06/01/2021
121,Bolívar,209933,2560,4,-1.605556,-79.003056,06/01/2021
122,Carchi,186869,3780,29,0.81218,-77.71633,06/01/2021
123,Cañar,281396,2905,8,-2.733333,-78.833333,06/01/2021
124,Chimborazo,524004,3393,35,-1.674347,-78.648294,06/01/2021
125,Cotopaxi,488716,5831,17,-0.933333,-78.616667,06/01/2021
126,El Oro,715751,8547,47,-3.266667,-79.966667,06/01/2021
127,Esmeraldas,591083,5084,8,1.05,-79.2,06/01/2021
128,Galápagos,33042,948,20,-0.7999999999999999,-89.4,06/01/2021
129,Guayas,4387434,28000,195,-2.183333,-79.883333,06/01/2021
130,Imbabura,476257,6239,58,0.362678,-78.130667,06/01/2021
131,Loja,521154,7743,24,-3.983333,-79.2,06/01/2021
132,Los Ríos,921763,4990,15,-1.8,-79.533333,06/01/2021
133,Manabí,1562079,15292,86,-1.056181,-80.455217,06/01/2021
134,Morona Santiago,196535,3733,10,-2.3,-78.116667,06/01/2021
135,Napo,133705,1716,14,-0.989,-77.8159,06/01/2021
136,Orellana,161338,2120,2,-0.466667,-76.966667,06/01/2021
137,Pastaza,114202,2417,0,-1.066667,-78.001111,06/01/2021
138,Pichincha,3228233,76996,478,-0.218611,-78.509722,06/01/2021
139,Santa Elena,401178,2697,20,-2.2267,-80.8583,06/01/2021
140,Sto. Domingo Tsáchilas,511151,6040,72,-0.254167,-79.171944,06/01/2021
141,Sucumbíos,230503,3035,1,0.084722,-76.882778,06/01/2021
142,Tungurahua,590600,7689,62,-1.241667,-78.619722,06/01/2021
143,Zamora Chinchipe,120416,1679,1,-4.12,-78.8,06/01/2021
144,Azuay,881394,14031,88,-2.897414,-79.004481,07/01/2021
145,Bolívar,209933,2574,14,-1.605556,-79.003056,07/01/2021
146,Carchi,186869,3791,11,0.81218,-77.71633,07/01/2021
147,Cañar,281396,2915,10,-2.733333,-78.833333,07/01/2021
148,Chimborazo,524004,3417,24,-1.674347,-78.648294,07/01/2021
149,Cotopaxi,488716,5849,18,-0.933333,-78.616667,07/01/2021
150,El Oro,715751,8613,66,-3.266667,-79.966667,07/01/2021
151,Esmeraldas,591083,5102,18,1.05,-79.2,07/01/2021
152,Galápagos,33042,953,5,-0.7999999999999999,-89.4,07/01/2021
153,Guayas,4387434,28276,276,-2.183333,-79.883333,07/01/2021
154,Imbabura,476257,6261,22,0.362678,-78.130667,07/01/2021
155,Loja,521154,7748,5,-3.983333,-79.2,07/01/2021
156,Los Ríos,921763,5015,25,-1.8,-79.533333,07/01/2021
157,Manabí,1562079,15399,107,-1.056181,-80.455217,07/01/2021
158,Morona Santiago,196535,3761,28,-2.3,-78.116667,07/01/2021
159,Napo,133705,1738,22,-0.989,-77.8159,07/01/2021
160,Orellana,161338,2128,8,-0.466667,-76.966667,07/01/2021
161,Pastaza,114202,2421,4,-1.066667,-78.001111,07/01/2021
162,Pichincha,3228233,77176,180,-0.218611,-78.509722,07/01/2021
163,Santa Elena,401178,2723,26,-2.2267,-80.8583,07/01/2021
164,Sto. Domingo Tsáchilas,511151,6042,2,-0.254167,-79.171944,07/01/2021
165,Sucumbíos,230503,3036,1,0.084722,-76.882778,07/01/2021
166,Tungurahua,590600,7737,48,-1.241667,-78.619722,07/01/2021
167,Zamora Chinchipe,120416,1679,0,-4.12,-78.8,07/01/2021
168,Azuay,881394,14064,33,-2.897414,-79.004481,08/01/2021
169,Bolívar,209933,2575,1,-1.605556,-79.003056,08/01/2021
170,Carchi,186869,3808,17,0.81218,-77.71633,08/01/2021
171,Cañar,281396,2923,8,-2.733333,-78.833333,08/01/2021
172,Chimborazo,524004,3422,5,-1.674347,-78.648294,08/01/2021
173,Cotopaxi,488716,5879,30,-0.933333,-78.616667,08/01/2021
174,El Oro,715751,8680,67,-3.266667,-79.966667,08/01/2021
175,Esmeraldas,591083,5104,2,1.05,-79.2,08/01/2021
176,Galápagos,33042,968,15,-0.7999999999999999,-89.4,08/01/2021
177,Guayas,4387434,28434,158,-2.183333,-79.883333,08/01/2021
178,Imbabura,476257,6289,28,0.362678,-78.130667,08/01/2021
179,Loja,521154,7788,40,-3.983333,-79.2,08/01/2021
180,Los Ríos,921763,5073,58,-1.8,-79.533333,08/01/2021
181,Manabí,1562079,15446,47,-1.056181,-80.455217,08/01/2021
182,Morona Santiago,196535,3784,23,-2.3,-78.116667,08/01/2021
183,Napo,133705,1738,0,-0.989,-77.8159,08/01/2021
184,Orellana,161338,2131,3,-0.466667,-76.966667,08/01/2021
185,Pastaza,114202,2423,2,-1.066667,-78.001111,08/01/2021
186,Pichincha,3228233,77354,178,-0.218611,-78.509722,08/01/2021
187,Santa Elena,401178,2727,4,-2.2267,-80.8583,08/01/2021
188,Sto. Domingo Tsáchilas,511151,6043,1,-0.254167,-79.171944,08/01/2021
189,Sucumbíos,230503,3041,5,0.084722,-76.882778,08/01/2021
190,Tungurahua,590600,7774,37,-1.241667,-78.619722,08/01/2021
191,Zamora Chinchipe,120416,1680,1,-4.12,-78.8,08/01/2021
192,Azuay,881394,14109,45,-2.897414,-79.004481,09/01/2021
193,Bolívar,209933,2581,6,-1.605556,-79.003056,09/01/2021
194,Carchi,186869,3849,41,0.81218,-77.71633,09/01/2021
195,Cañar,281396,2929,6,-2.733333,-78.833333,09/01/2021
196,Chimborazo,524004,3466,44,-1.674347,-78.648294,09/01/2021
197,Cotopaxi,488716,5958,79,-0.933333,-78.616667,09/01/2021
198,El Oro,715751,8796,116,-3.266667,-79.966667,09/01/2021
199,Esmeraldas,591083,5107,3,1.05,-79.2,09/01/2021
200,Galápagos,33042,987,19,-0.7999999999999999,-89.4,09/01/2021
201,Guayas,4387434,28600,166,-2.183333,-79.883333,09/01/2021
202,Imbabura,476257,6334,45,0.362678,-78.130667,09/01/2021
203,Loja,521154,7822,34,-3.983333,-79.2,09/01/2021
204,Los Ríos,921763,5094,21,-1.8,-79.533333,09/01/2021
205,Manabí,1562079,15526,80,-1.056181,-80.455217,09/01/2021
206,Morona Santiago,196535,3817,33,-2.3,-78.116667,09/01/2021
207,Napo,133705,1747,9,-0.989,-77.8159,09/01/2021
208,Orellana,161338,2131,0,-0.466667,-76.966667,09/01/2021
209,Pastaza,114202,2427,4,-1.066667,-78.001111,09/01/2021
210,Pichincha,3228233,77665,311,-0.218611,-78.509722,09/01/2021
211,Santa Elena,401178,2744,17,-2.2267,-80.8583,09/01/2021
212,Sto. Domingo Tsáchilas,511151,6074,31,-0.254167,-79.171944,09/01/2021
213,Sucumbíos,230503,3042,1,0.084722,-76.882778,09/01/2021
214,Tungurahua,590600,7856,82,-1.241667,-78.619722,09/01/2021
215,Zamora Chinchipe,120416,1688,8,-4.12,-78.8,09/01/2021
216,Azuay,881394,14164,55,-2.897414,-79.004481,10/01/2021
217,Bolívar,209933,2604,23,-1.605556,-79.003056,10/01/2021
218,Carchi,186869,3860,11,0.81218,-77.71633,10/01/2021
219,Cañar,281396,2946,17,-2.733333,-78.833333,10/01/2021
220,Chimborazo,524004,3505,39,-1.674347,-78.648294,10/01/2021
221,Cotopaxi,488716,5980,22,-0.933333,-78.616667,10/01/2021
222,El Oro,715751,8872,76,-3.266667,-79.966667,10/01/2021
223,Esmeraldas,591083,5130,23,1.05,-79.2,10/01/2021
224,Galápagos,33042,989,2,-0.7999999999999999,-89.4,10/01/2021
225,Guayas,4387434,28738,138,-2.183333,-79.883333,10/01/2021
226,Imbabura,476257,6336,2,0.362678,-78.130667,10/01/2021
227,Loja,521154,7835,13,-3.983333,-79.2,10/01/2021
228,Los Ríos,921763,5128,34,-1.8,-79.533333,10/01/2021
229,Manabí,1562079,15629,103,-1.056181,-80.455217,10/01/2021
230,Morona Santiago,196535,3828,11,-2.3,-78.116667,10/01/2021
231,Napo,133705,1750,3,-0.989,-77.8159,10/01/2021
232,Orellana,161338,2131,0,-0.466667,-76.966667,10/01/2021
233,Pastaza,114202,2429,2,-1.066667,-78.001111,10/01/2021
234,Pichincha,3228233,77763,98,-0.218611,-78.509722,10/01/2021
235,Santa Elena,401178,2754,10,-2.2267,-80.8583,10/01/2021
236,Sto. Domingo Tsáchilas,511151,6074,0,-0.254167,-79.171944,10/01/2021
237,Sucumbíos,230503,3060,18,0.084722,-76.882778,10/01/2021
238,Tungurahua,590600,7876,20,-1.241667,-78.619722,10/01/2021
239,Zamora Chinchipe,120416,1689,1,-4.12,-78.8,10/01/2021
240,Azuay,881394,14195,31,-2.897414,-79.004481,11/01/2021
241,Bolívar,209933,2604,0,-1.605556,-79.003056,11/01/2021
242,Carchi,186869,3863,3,0.81218,-77.71633,11/01/2021
243,Cañar,281396,2954,8,-2.733333,-78.833333,11/01/2021
244,Chimborazo,524004,3510,5,-1.674347,-78.648294,11/01/2021
245,Cotopaxi,488716,5981,1,-0.933333,-78.616667,11/01/2021
246,El Oro,715751,8999,127,-3.266667,-79.966667,11/01/2021
247,Esmeraldas,591083,5131,1,1.05,-79.2,11/01/2021
248,Galápagos,33042,996,7,-0.7999999999999999,-89.4,11/01/2021
249,Guayas,4387434,28753,15,-2.183333,-79.883333,11/01/2021
250,Imbabura,476257,6347,11,0.362678,-78.130667,11/01/2021
251,Loja,521154,7889,54,-3.983333,-79.2,11/01/2021
252,Los Ríos,921763,5129,1,-1.8,-79.533333,11/01/2021
253,Manabí,1562079,15645,16,-1.056181,-80.455217,11/01/2021
254,Morona Santiago,196535,3829,1,-2.3,-78.116667,11/01/2021
255,Napo,133705,1751,1,-0.989,-77.8159,11/01/2021
256,Orellana,161338,2131,0,-0.466667,-76.966667,11/01/2021
257,Pastaza,114202,2429,0,-1.066667,-78.001111,11/01/2021
258,Pichincha,3228233,77847,84,-0.218611,-78.509722,11/01/2021
259,Santa Elena,401178,2774,20,-2.2267,-80.8583,11/01/2021
260,Sto. Domingo Tsáchilas,511151,6074,0,-0.254167,-79.171944,11/01/2021
261,Sucumbíos,230503,3060,0,0.084722,-76.882778,11/01/2021
262,Tungurahua,590600,7922,46,-1.241667,-78.619722,11/01/2021
263,Zamora Chinchipe,120416,1693,4,-4.12,-78.8,11/01/2021
264,Azuay,881394,14242,47,-2.897414,-79.004481,12/01/2021
265,Bolívar,209933,2611,7,-1.605556,-79.003056,12/01/2021
266,Carchi,186869,3866,3,0.81218,-77.71633,12/01/2021
267,Cañar,281396,2987,33,-2.733333,-78.833333,12/01/2021
268,Chimborazo,524004,3530,20,-1.674347,-78.648294,12/01/2021
269,Cotopaxi,488716,5989,8,-0.933333,-78.616667,12/01/2021
270,El Oro,715751,9048,49,-3.266667,-79.966667,12/01/2021
271,Esmeraldas,591083,5140,9,1.05,-79.2,12/01/2021
272,Galápagos,33042,1014,18,-0.7999999999999999,-89.4,12/01/2021
273,Guayas,4387434,29005,252,-2.183333,-79.883333,12/01/2021
274,Imbabura,476257,6385,38,0.362678,-78.130667,12/01/2021
275,Loja,521154,7933,44,-3.983333,-79.2,12/01/2021
276,Los Ríos,921763,5178,49,-1.8,-79.533333,12/01/2021
277,Manabí,1562079,15798,153,-1.056181,-80.455217,12/01/2021
278,Morona Santiago,196535,3829,0,-2.3,-78.116667,12/01/2021
279,Napo,133705,1754,3,-0.989,-77.8159,12/01/2021
280,Orellana,161338,2131,0,-0.466667,-76.966667,12/01/2021
281,Pastaza,114202,2429,0,-1.066667,-78.001111,12/01/2021
282,Pichincha,3228233,78052,205,-0.218611,-78.509722,12/01/2021
283,Santa Elena,401178,2836,62,-2.2267,-80.8583,12/01/2021
284,Sto. Domingo Tsáchilas,511151,6123,49,-0.254167,-79.171944,12/01/2021
285,Sucumbíos,230503,3063,3,0.084722,-76.882778,12/01/2021
286,Tungurahua,590600,7931,9,-1.241667,-78.619722,12/01/2021
287,Zamora Chinchipe,120416,1693,0,-4.12,-78.8,12/01/2021
288,Azuay,881394,14363,121,-2.897414,-79.004481,13/01/2021
289,Bolívar,209933,2616,5,-1.605556,-79.003056,13/01/2021
290,Carchi,186869,3970,104,0.81218,-77.71633,13/01/2021
291,Cañar,281396,3003,16,-2.733333,-78.833333,13/01/2021
292,Chimborazo,524004,3549,19,-1.674347,-78.648294,13/01/2021
293,Cotopaxi,488716,6090,101,-0.933333,-78.616667,13/01/2021
294,El Oro,715751,9144,96,-3.266667,-79.966667,13/01/2021
295,Esmeraldas,591083,5167,27,1.05,-79.2,13/01/2021
296,Galápagos,33042,1061,47,-0.7999999999999999,-89.4,13/01/2021
297,Guayas,4387434,29218,213,-2.183333,-79.883333,13/01/2021
298,Imbabura,476257,6466,81,0.362678,-78.130667,13/01/2021
299,Loja,521154,7962,29,-3.983333,-79.2,13/01/2021
300,Los Ríos,921763,5219,41,-1.8,-79.533333,13/01/2021
301,Manabí,1562079,15921,123,-1.056181,-80.455217,13/01/2021
302,Morona Santiago,196535,3872,43,-2.3,-78.116667,13/01/2021
303,Napo,133705,1778,24,-0.989,-77.8159,13/01/2021
304,Orellana,161338,2136,5,-0.466667,-76.966667,13/01/2021
305,Pastaza,114202,2431,2,-1.066667,-78.001111,13/01/2021
306,Pichincha,3228233,78580,528,-0.218611,-78.509722,13/01/2021
307,Santa Elena,401178,2865,29,-2.2267,-80.8583,13/01/2021
308,Sto. Domingo Tsáchilas,511151,6151,28,-0.254167,-79.171944,13/01/2021
309,Sucumbíos,230503,3075,12,0.084722,-76.882778,13/01/2021
310,Tungurahua,590600,7985,54,-1.241667,-78.619722,13/01/2021
311,Zamora Chinchipe,120416,1693,0,-4.12,-78.8,13/01/2021
312,Azuay,881394,14455,92,-2.897414,-79.004481,14/01/2021
313,Bolívar,209933,2634,18,-1.605556,-79.003056,14/01/2021
314,Carchi,186869,3997,27,0.81218,-77.71633,14/01/2021
315,Cañar,281396,3031,28,-2.733333,-78.833333,14/01/2021
316,Chimborazo,524004,3619,70,-1.674347,-78.648294,14/01/2021
317,Cotopaxi,488716,6185,95,-0.933333,-78.616667,14/01/2021
318,El Oro,715751,9235,91,-3.266667,-79.966667,14/01/2021
319,Esmeraldas,591083,5193,26,1.05,-79.2,14/01/2021
320,Galápagos,33042,1089,28,-0.7999999999999999,-89.4,14/01/2021
321,Guayas,4387434,29434,216,-2.183333,-79.883333,14/01/2021
322,Imbabura,476257,6486,20,0.362678,-78.130667,14/01/2021
323,Loja,521154,7973,11,-3.983333,-79.2,14/01/2021
324,Los Ríos,921763,5233,14,-1.8,-79.533333,14/01/2021
325,Manabí,1562079,15983,62,-1.056181,-80.455217,14/01/2021
326,Morona Santiago,196535,3924,52,-2.3,-78.116667,14/01/2021
327,Napo,133705,1787,9,-0.989,-77.8159,14/01/2021
328,Orellana,161338,2150,14,-0.466667,-76.966667,14/01/2021
329,Pastaza,114202,2437,6,-1.066667,-78.001111,14/01/2021
330,Pichincha,3228233,79269,689,-0.218611,-78.509722,14/01/2021
331,Santa Elena,401178,2877,12,-2.2267,-80.8583,14/01/2021
332,Sto. Domingo Tsáchilas,511151,6184,33,-0.254167,-79.171944,14/01/2021
333,Sucumbíos,230503,3083,8,0.084722,-76.882778,14/01/2021
334,Tungurahua,590600,8047,62,-1.241667,-78.619722,14/01/2021
335,Zamora Chinchipe,120416,1697,4,-4.12,-78.8,14/01/2021
336,Azuay,881394,14501,46,-2.897414,-79.004481,15/01/2021
337,Bolívar,209933,2656,22,-1.605556,-79.003056,15/01/2021
338,Carchi,186869,4013,16,0.81218,-77.71633,15/01/2021
339,Cañar,281396,3039,8,-2.733333,-78.833333,15/01/2021
340,Chimborazo,524004,3631,12,-1.674347,-78.648294,15/01/2021
341,Cotopaxi,488716,6201,16,-0.933333,-78.616667,15/01/2021
342,El Oro,715751,9321,86,-3.266667,-79.966667,15/01/2021
343,Esmeraldas,591083,5193,0,1.05,-79.2,15/01/2021
344,Galápagos,33042,1115,26,-0.7999999999999999,-89.4,15/01/2021
345,Guayas,4387434,29547,113,-2.183333,-79.883333,15/01/2021
346,Imbabura,476257,6497,11,0.362678,-78.130667,15/01/2021
347,Loja,521154,8053,80,-3.983333,-79.2,15/01/2021
348,Los Ríos,921763,5313,80,-1.8,-79.533333,15/01/2021
349,Manabí,1562079,16067,84,-1.056181,-80.455217,15/01/2021
350,Morona Santiago,196535,3929,5,-2.3,-78.116667,15/01/2021
351,Napo,133705,1805,18,-0.989,-77.8159,15/01/2021
352,Orellana,161338,2153,3,-0.466667,-76.966667,15/01/2021
353,Pastaza,114202,2439,2,-1.066667,-78.001111,15/01/2021
354,Pichincha,3228233,79435,166,-0.218611,-78.509722,15/01/2021
355,Santa Elena,401178,2885,8,-2.2267,-80.8583,15/01/2021
356,Sto. Domingo Tsáchilas,511151,6185,1,-0.254167,-79.171944,15/01/2021
357,Sucumbíos,230503,3085,2,0.084722,-76.882778,15/01/2021
358,Tungurahua,590600,8099,52,-1.241667,-78.619722,15/01/2021
359,Zamora Chinchipe,120416,1704,7,-4.12,-78.8,15/01/2021
360,Azuay,881394,14681,180,-2.897414,-79.004481,16/01/2021
361,Bolívar,209933,2693,37,-1.605556,-79.003056,16/01/2021
362,Carchi,186869,4149,136,0.81218,-77.71633,16/01/2021
363,Cañar,281396,3097,58,-2.733333,-78.833333,16/01/2021
364,Chimborazo,524004,3763,132,-1.674347,-78.648294,16/01/2021
365,Cotopaxi,488716,6442,241,-0.933333,-78.616667,16/01/2021
366,El Oro,715751,9425,104,-3.266667,-79.966667,16/01/2021
367,Esmeraldas,591083,5205,12,1.05,-79.2,16/01/2021
368,Galápagos,33042,1137,22,-0.7999999999999999,-89.4,16/01/2021
369,Guayas,4387434,29775,228,-2.183333,-79.883333,16/01/2021
370,Imbabura,476257,6744,247,0.362678,-78.130667,16/01/2021
371,Loja,521154,8201,148,-3.983333,-79.2,16/01/2021
372,Los Ríos,921763,5352,39,-1.8,-79.533333,16/01/2021
373,Manabí,1562079,16244,177,-1.056181,-80.455217,16/01/2021
374,Morona Santiago,196535,3984,55,-2.3,-78.116667,16/01/2021
375,Napo,133705,1825,20,-0.989,-77.8159,16/01/2021
376,Orellana,161338,2157,4,-0.466667,-76.966667,16/01/2021
377,Pastaza,114202,2459,20,-1.066667,-78.001111,16/01/2021
378,Pichincha,3228233,81102,1667,-0.218611,-78.509722,16/01/2021
379,Santa Elena,401178,2920,35,-2.2267,-80.8583,16/01/2021
380,Sto. Domingo Tsáchilas,511151,6340,155,-0.254167,-79.171944,16/01/2021
381,Sucumbíos,230503,3092,7,0.084722,-76.882778,16/01/2021
382,Tungurahua,590600,8306,207,-1.241667,-78.619722,16/01/2021
383,Zamora Chinchipe,120416,1715,11,-4.12,-78.8,16/01/2021
384,Azuay,881394,14737,56,-2.897414,-79.004481,17/01/2021
385,Bolívar,209933,2703,10,-1.605556,-79.003056,17/01/2021
386,Carchi,186869,4175,26,0.81218,-77.71633,17/01/2021
387,Cañar,281396,3106,9,-2.733333,-78.833333,17/01/2021
388,Chimborazo,524004,3815,52,-1.674347,-78.648294,17/01/2021
389,Cotopaxi,488716,6448,6,-0.933333,-78.616667,17/01/2021
390,El Oro,715751,9466,41,-3.266667,-79.966667,17/01/2021
391,Esmeraldas,591083,5235,30,1.05,-79.2,17/01/2021
392,Galápagos,33042,1138,1,-0.7999999999999999,-89.4,17/01/2021
393,Guayas,4387434,29903,128,-2.183333,-79.883333,17/01/2021
