,provincia,poblacion,total,nuevas,lat,lng,created_at
0,Azuay,881394,13605,48,-2.897414,-79.004481,01/01/2021
1,Bolívar,209933,2531,4,-1.605556,-79.003056,01/01/2021
2,Carchi,186869,3667,38,0.81218,-77.71633,01/01/2021
3,Cañar,281396,2849,45,-2.733333,-78.833333,01/01/2021
4,Chimborazo,524004,3260,7,-1.674347,-78.648294,01/01/2021
5,Cotopaxi,488716,5707,52,-0.933333,-78.616667,01/01/2021
6,El Oro,715751,8343,20,-3.266667,-79.966667,01/01/2021
7,Esmeraldas,591083,5048,4,1.05,-79.2,01/01/2021
8,Galápagos,33042,920,2,-0.7999999999999999,-89.4,01/01/2021
9,Guayas,4387434,27475,158,-2.183333,-79.883333,01/01/2021
10,Imbabura,476257,6076,13,0.362678,-78.130667,01/01/2021
11,Loja,521154,7638,46,-3.983333,-79.2,01/01/2021
12,Los Ríos,921763,4907,8,-1.8,-79.533333,01/01/2021
13,Manabí,1562079,15010,50,-1.056181,-80.455217,01/01/2021
14,Morona Santiago,196535,3677,36,-2.3,-78.116667,01/01/2021
15,Napo,133705,1684,16,-0.989,-77.8159,01/01/2021
16,Orellana,161338,2113,3,-0.466667,-76.966667,01/01/2021
17,Pastaza,114202,2414,3,-1.066667,-78.001111,01/01/2021
18,Pichincha,3228233,75686,221,-0.218611,-78.509722,01/01/2021
19,Santa Elena,401178,2653,22,-2.2267,-80.8583,01/01/2021
20,Sto. Domingo Tsáchilas,511151,5915,1,-0.254167,-79.171944,01/01/2021
21,Sucumbíos,230503,3011,2,0.084722,-76.882778,01/01/2021
22,Tungurahua,590600,7518,65,-1.241667,-78.619722,01/01/2021
23,Zamora Chinchipe,120416,1671,2,-4.12,-78.8,01/01/2021
24,Azuay,881394,13741,136,-2.897414,-79.004481,02/01/2021
25,Bolívar,209933,2547,16,-1.605556,-79.003056,02/01/2021
26,Carchi,186869,3712,45,0.81218,-77.71633,02/01/2021
27,Cañar,281396,2886,37,-2.733333,-78.833333,02/01/2021
28,Chimborazo,524004,3284,24,-1.674347,-78.648294,02/01/2021
29,Cotopaxi,488716,5760,53,-0.933333,-78.616667,02/01/2021
30,El Oro,715751,8435,92,-3.266667,-79.966667,02/01/2021
31,Esmeraldas,591083,5060,12,1.05,-79.2,02/01/2021
32,Galápagos,33042,922,2,-0.7999999999999999,-89.4,02/01/2021
33,Guayas,4387434,27630,155,-2.183333,-79.883333,02/01/2021
34,Imbabura,476257,6128,52,0.362678,-78.130667,02/01/2021
35,Loja,521154,7654,16,-3.983333,-79.2,02/01/2021
36,Los Ríos,921763,4953,46,-1.8,-79.533333,02/01/2021
37,Manabí,1562079,15124,114,-1.056181,-80.455217,02/01/2021
38,Morona Santiago,196535,3721,44,-2.3,-78.116667,02/01/2021
39,Napo,133705,1693,9,-0.989,-77.8159,02/01/2021
40,Orellana,161338,2118,5,-0.466667,-76.966667,02/01/2021
